1,101.741136,4194304,0
1,102.056768,4194304,0
1,101.913243,4194304,0
1,101.786376,4194304,0
2,52.690695,4221502,27198
2,53.263319,4219380,25076
2,52.852938,4221198,26894
2,52.977444,4219995,25691
3,35.958020,4249337,55034
3,35.839973,4252985,58682
3,35.977548,4248736,54433
3,35.945581,4249929,55626
4,27.690396,4279785,85481
4,27.520755,4281779,87475
4,27.527302,4276239,81935
4,27.504150,4280485,86181
5,38.370406,4456694,262389
5,25.798895,4320146,125841
5,28.592434,4317603,123298
5,41.628373,4525447,331142
6,21.319422,4328079,133773
6,25.046514,4496460,302154
6,21.222849,4328568,134262
6,22.925580,4426390,232084
7,18.221601,4363428,169126
7,18.155010,4354393,160091
7,18.314728,4353321,159019
7,18.278466,4356254,161952
8,16.308310,4380512,186208
8,16.226738,4398411,204107
8,16.311274,4386888,192584
8,16.329764,4395120,200816
9,15.525718,4413427,219121
9,15.129177,4425760,231454
9,15.171686,4433849,239543
9,15.065853,4427863,233557
10,13.539064,4461831,267531
10,13.533794,4462459,268159
10,13.534696,4466372,272072
10,13.861757,4472824,278524
11,12.501261,4513100,318800
11,12.350709,4509906,315606
11,12.554302,4492138,297838
11,12.413913,4503591,309291
12,11.562936,4559394,365094
12,11.523916,4553082,358782
12,11.727970,4545689,351389
12,11.556549,4532400,338100
13,11.994708,4564234,369927
13,11.675483,4591437,397130
13,11.862788,4671248,476941
13,12.002408,4563607,369300
14,10.941723,4574984,380682
14,11.165224,4605943,411641
14,11.040366,4569975,375673
14,11.015287,4562102,367800
15,10.462486,4642951,448651
15,10.463701,4612287,417987
15,10.426308,4644696,450396
15,10.425267,4605230,410930
16,9.867964,4649345,455041
16,9.942769,4645673,451369
16,9.895271,4618394,424090
16,9.928866,4651149,456845
17,9.554919,4676332,482024
17,9.819778,4701612,507304
17,9.677719,4709016,514708
17,9.761652,4647620,453312
18,9.051627,4699627,505321
18,9.038111,4739034,544728
18,9.029575,4743158,548852
18,9.084376,4689109,494803
19,8.727609,4720850,526543
19,8.649667,4727441,533134
19,8.867910,4728947,534640
19,8.794803,4734303,539996
20,8.505657,4845294,650994
20,8.489388,4796316,602016
20,8.396039,4762838,568538
20,8.485810,4783018,588718
21,9.831312,4883048,688739
21,8.281376,4946265,751956
21,8.098655,4889166,694857
21,8.281330,4854842,660533
22,11.432488,4868826,674526
22,8.231261,4846595,652295
22,19.960021,4890215,695915
22,8.507076,4950810,756510
23,8.008379,4969613,775310
23,9.495452,4964376,770073
23,7.739798,5141660,947357
23,10.763545,4926760,732457
24,7.427027,5219864,1025552
24,7.362150,5044041,849729
24,12.706164,4974467,780155
24,7.487958,5003259,808947
25,7.393489,5067229,872929
25,7.182975,4983059,788759
25,7.433289,5025693,831393
25,7.349303,5093714,899414
26,7.167632,5111240,916946
26,11.009074,5109795,915501
26,7.052443,5026627,832333
26,7.319310,5139390,945096
27,7.070704,5126647,932332
27,7.117438,5079054,884739
27,6.884013,5113293,918978
27,14.338813,5161168,966853
28,6.606846,5040181,845865
28,6.765761,5160521,966205
28,6.884433,5217385,1023069
28,6.615464,5129074,934758
29,6.849999,5023903,829604
29,6.877292,5169130,974831
29,6.758649,5075927,881628
29,8.764037,5028825,834526
30,6.603474,5137221,942921
30,7.730665,5089520,895220
30,13.443181,5201843,1007543
30,6.610257,5089038,894738
31,6.755971,5133550,939250
31,6.596828,5035675,841375
31,6.808886,5129892,935592
31,6.852046,5130486,936186
